"","date","pm","right_scaled","indy_scaled","snp_scaled"
"1",2025-09-25,"Starmer",0.954025977021805,0.594300986550096,-1.39388643048134
"2",2025-09-24,"Starmer",0.935517364069324,0.594300986550096,-1.39388643048134
"3",2025-09-22,"Starmer",0.944012012832698,0.594300986550096,-1.39388643048134
"4",2025-09-21,"Starmer",0.975338367613932,0.594300986550096,-1.39388643048134
"5",2025-09-20,"Starmer",0.97234727627892,0.594300986550096,-1.39388643048134
"6",2025-09-19,"Starmer",0.927347160020628,0.594300986550096,-1.39388643048134
"7",2025-09-17,"Starmer",0.916715074722096,0.594300986550096,-1.39388643048134
"8",2025-09-16,"Starmer",0.916715074722096,0.594300986550096,-1.39388643048134
"9",2025-09-15,"Starmer",0.932964638009178,0.594300986550096,-1.39388643048134
"10",2025-09-13,"Starmer",0.942367724254751,0.594300986550096,-1.39388643048134
"11",2025-09-12,"Starmer",0.955835586243875,0.594300986550096,-1.39388643048134
"12",2025-09-11,"Starmer",0.914542284193718,0.594300986550096,-1.39388643048134
"13",2025-09-10,"Starmer",0.88253966559874,0.594300986550096,-1.39388643048134
"14",2025-09-08,"Starmer",0.877654229279803,0.594300986550096,-1.39388643048134
"15",2025-09-07,"Starmer",0.858880909416274,0.594300986550096,-1.39388643048134
"16",2025-09-06,"Starmer",0.886680205823931,0.594300986550096,-1.39388643048134
"17",2025-09-05,"Starmer",0.878803678169982,0.594300986550096,-1.39388643048134
"18",2025-09-04,"Starmer",0.895757755585939,0.594300986550096,-1.39388643048134
"19",2025-09-03,"Starmer",0.879508192298856,0.594300986550096,-1.39388643048134
"20",2025-09-02,"Starmer",0.877249142633459,0.594300986550096,-1.39388643048134
"21",2025-09-01,"Starmer",0.913945687147379,0.594300986550096,-1.39388643048134
"22",2025-08-30,"Starmer",0.900948189484065,0.594300986550096,-1.39388643048134
"23",2025-08-29,"Starmer",0.890926982129067,0.594300986550096,-1.39388643048134
"24",2025-08-28,"Starmer",0.875353682655732,0.594300986550096,-1.39388643048134
"25",2025-08-27,"Starmer",0.867904199092207,0.594300986550096,-1.39388643048134
"26",2025-08-26,"Starmer",0.892294996944286,0.594300986550096,-1.39388643048134
"27",2025-08-25,"Starmer",0.894374290775124,0.594300986550096,-1.39388643048134
"28",2025-08-23,"Starmer",0.902250818429073,0.613349250315199,-1.39388643048134
"29",2025-08-22,"Starmer",0.88600125514199,0.613349250315199,-1.39388643048134
"30",2025-08-21,"Starmer",0.886428299232414,0.613349250315199,-1.39388643048134
"31",2025-08-20,"Starmer",0.872960437243291,0.613349250315199,-1.39388643048134
"32",2025-08-19,"Starmer",0.886027398795366,0.613349250315199,-1.39388643048134
"33",2025-08-17,"Starmer",0.910153489736396,0.613349250315199,-1.39388643048134
"34",2025-08-16,"Starmer",0.918030017390343,0.613349250315199,-1.39388643048134
"35",2025-08-15,"Starmer",0.918030017390343,0.613349250315199,-1.39388643048134
"36",2025-08-13,"Starmer",0.897680204546211,0.613349250315199,-1.39388643048134
"37",2025-08-12,"Starmer",0.90489960507987,0.613349250315199,-1.39388643048134
"38",2025-08-10,"Starmer",0.860983660032291,0.613349250315199,-1.39388643048134
"39",2025-08-09,"Starmer",0.87447766567479,0.613349250315199,-1.39388643048134
"40",2025-08-07,"Starmer",0.905556732200158,0.613349250315199,-1.39388643048134
"41",2025-08-06,"Starmer",0.89298627862727,0.613349250315199,-1.39388643048134
"42",2025-08-04,"Starmer",0.884613242994137,0.613349250315199,-1.39388643048134
"43",2025-08-03,"Starmer",0.878690318022237,0.613349250315199,-1.39388643048134
"44",2025-08-01,"Starmer",0.866601138020842,0.73725093525955,-1.39388643048134
"45",2025-07-31,"Starmer",0.85829756627647,0.73725093525955,-1.39388643048134
"46",2025-07-29,"Starmer",0.851208691387916,0.73725093525955,-1.39388643048134
"47",2025-07-27,"Starmer",0.827758864260631,0.73725093525955,-1.40965599156924
"48",2025-07-26,"Starmer",0.788803270081315,0.73725093525955,-1.40965599156924
"49",2025-07-24,"Starmer",0.825499814595233,0.73725093525955,-1.40965599156924
"50",2025-07-23,"Starmer",0.807461565968564,0.73725093525955,-1.40965599156924
"51",2025-07-21,"Starmer",0.794464068305251,0.73725093525955,-1.40965599156924
"52",2025-07-20,"Starmer",0.749890996137383,0.73725093525955,-1.40965599156924
"53",2025-07-18,"Starmer",0.741822958083439,0.73725093525955,-1.40965599156924
"54",2025-07-17,"Starmer",0.731382383184903,0.73725093525955,-1.40965599156924
"55",2025-07-15,"Starmer",0.72307881144053,0.73725093525955,-1.40965599156924
"56",2025-07-14,"Starmer",0.723505855530955,0.73725093525955,-1.40965599156924
"57",2025-07-12,"Starmer",0.705130157225636,0.73725093525955,-1.40965599156924
"58",2025-07-11,"Starmer",0.68150057426379,0.572127667553531,-1.40965599156924
"59",2025-07-09,"Starmer",0.673624046609843,0.572127667553531,-1.40965599156924
"60",2025-07-08,"Starmer",0.668253856877157,0.572127667553531,-1.40965599156924
"61",2025-07-06,"Starmer",0.665071255142148,0.572127667553531,-1.40965599156924
"62",2025-07-05,"Starmer",0.681320818429231,0.572127667553531,-1.40965599156924
"63",2025-07-04,"Starmer",0.67115909745651,0.572127667553531,-1.40965599156924
"64",2025-07-03,"Starmer",0.685158941238319,0.572127667553531,-1.40965599156924
"65",2025-07-02,"Starmer",0.700254869425926,0.572127667553531,-1.40965599156924
"66",2025-07-01,"Starmer",0.6829529464624,0.572127667553531,-1.40965599156924
"67",2025-06-30,"Starmer",0.680693896797002,0.572127667553531,-1.40965599156924
